age,gender,weight,activity,humidity,temperature,complication,is_indoors,is_ground_wet,water_intake
25,0,68,1,51,28,1,0,0,3133
20,0,70,1,40,23,1,0,0,3247
20,1,54,2,56,17,1,1,0,2823
18,0,67,1,32,35,2,0,0,3567
44,0,77,2,46,22,0,1,1,3332
22,1,91,0,73,30,2,1,1,3448
27,0,71,1,85,16,0,1,1,2757
24,0,70,2,57,20,0,1,1,3138
43,0,55,0,58,35,1,1,1,2655
26,1,50,1,50,39,2,0,1,3102
45,1,54,0,76,26,1,0,1,2674
24,1,90,1,45,19,2,0,0,3766
26,0,61,0,66,16,0,1,0,2629
25,0,75,0,88,30,1,0,1,3167
29,1,95,2,49,19,1,0,1,3932
19,0,83,0,35,29,0,0,0,3337
18,0,98,1,48,26,0,0,0,3690
33,1,63,1,86,18,0,0,0,2711
40,1,75,2,34,29,1,1,0,3436
40,0,94,1,32,25,2,0,1,4187
47,0,76,1,88,30,1,1,0,3161
41,0,58,1,30,37,2,1,1,3253
22,1,75,0,87,20,1,1,1,2743
20,1,96,0,89,28,1,1,1,3375
29,1,71,1,67,32,0,1,0,3132
25,1,96,2,44,26,2,0,0,4247
39,0,79,0,63,25,1,0,1,3294
44,1,92,2,64,27,1,0,1,3858
20,1,97,1,78,35,0,1,1,3605
18,1,66,1,54,37,0,0,0,3291
20,1,75,0,53,25,2,0,1,3409
22,1,85,1,41,37,1,1,0,3568
32,0,50,0,47,30,2,1,1,2806
31,0,57,1,44,29,1,1,1,3045
20,1,98,1,73,35,2,1,1,4077
18,0,84,0,45,29,0,0,0,3325
22,1,64,0,56,39,1,1,0,2959
43,1,96,0,37,18,2,1,1,3751
40,0,71,1,89,25,0,0,0,2999
48,0,63,1,75,33,0,0,1,3086
31,1,75,2,54,29,2,1,0,3752
24,1,77,0,46,18,1,0,0,3151
44,1,72,1,58,35,1,1,0,3233
26,0,63,1,82,27,0,1,1,2893
32,1,73,0,37,36,1,0,0,3287
32,1,51,2,44,33,1,0,0,3062
43,1,94,0,56,16,1,1,1,3264
27,0,75,2,75,28,0,1,1,3161
45,1,63,1,79,18,2,1,1,3138
30,1,56,2,81,30,1,0,1,3090
36,0,52,1,36,35,0,1,0,2721
48,1,96,0,32,34,0,1,0,3415
49,1,72,0,58,28,2,1,0,3237
24,0,95,0,73,29,1,1,0,3267
34,1,92,2,82,17,1,1,0,3534
37,0,96,1,53,22,2,0,1,4052
46,0,94,0,89,30,2,1,0,3445
49,1,67,0,87,24,0,1,0,2604
21,1,87,1,32,18,0,1,0,3523
47,1,84,0,49,32,2,1,1,3629
22,1,64,1,75,16,1,0,1,3031
40,0,74,1,44,31,0,0,0,3214
24,1,86,1,54,27,0,0,1,3583
30,0,77,1,59,18,1,1,1,3133
32,1,59,1,43,39,0,1,1,3036
28,1,88,2,36,25,1,0,1,3883
46,1,66,0,46,21,1,0,1,3044
21,0,88,2,73,26,1,0,1,3761
30,1,71,0,49,24,2,1,1,3162
49,1,75,2,65,21,2,1,0,3610
24,1,93,1,38,27,2,0,0,4044
44,1,74,0,67,21,1,0,1,2983
36,0,66,0,77,38,1,0,0,2938
39,1,62,2,86,31,2,1,0,3337
45,0,69,2,89,24,0,1,1,2928
19,0,74,0,51,24,1,1,0,2954
27,0,53,2,83,38,0,0,1,2978
30,0,59,2,82,18,0,0,1,2918
47,0,52,2,82,34,1,1,1,2952
42,0,90,1,31,18,1,0,0,3620
38,1,94,1,53,36,0,1,0,3617
23,0,67,2,37,21,0,0,0,3452
45,0,96,2,40,36,2,0,0,4207
45,0,85,1,42,15,2,0,1,3867
29,1,96,1,46,26,1,0,1,3932
29,1,71,0,37,38,2,1,0,3231
37,0,83,0,50,27,2,0,1,3488
47,1,96,1,47,24,2,1,1,3864
47,0,57,2,59,29,2,1,0,3333
28,0,89,2,47,27,0,1,1,3590
49,1,98,2,75,37,1,0,0,3879
43,0,93,2,76,36,2,1,1,4156
40,1,68,0,60,36,0,1,0,2900
45,1,91,1,67,35,0,1,1,3452
42,0,90,2,61,36,0,0,1,3753
24,0,86,0,40,23,2,0,0,3624
47,1,55,2,74,23,2,1,0,3011
18,0,75,1,54,29,1,0,0,3321
18,0,83,0,62,24,2,1,0,3405
42,0,94,1,89,38,2,1,1,3852
44,1,55,1,67,39,0,0,1,2861
47,1,86,0,70,24,1,1,0,3056
42,0,82,0,37,22,2,0,1,3583
37,1,71,0,40,38,2,0,0,3473
30,1,70,0,51,30,0,1,0,2986
26,1,55,0,80,31,0,0,1,2741
20,1,55,0,53,19,2,0,1,3015
24,1,97,0,70,18,1,1,0,3174
23,0,53,2,46,32,1,1,0,3033
25,0,79,1,41,38,0,0,0,3602
44,0,60,0,86,33,0,0,1,2603
26,1,79,2,75,18,2,1,1,3595
47,1,80,2,61,21,0,0,1,3580
22,0,73,2,44,24,2,0,1,3644
18,1,58,1,45,39,1,0,0,3248
36,0,52,0,83,32,1,0,0,2505
27,0,80,2,51,33,2,0,0,3896
29,0,89,1,57,18,0,0,0,3551
41,1,86,1,49,24,1,0,0,3460
32,1,85,1,62,15,0,1,0,3333
44,0,73,2,39,37,1,1,1,3546
39,0,80,0,69,32,2,1,1,3310
49,0,55,2,61,19,2,1,0,3194
49,0,51,2,79,29,2,1,0,2992
41,1,69,0,89,31,1,0,1,2996
26,1,77,0,62,17,0,0,1,3072
37,0,60,0,31,26,0,0,1,2976
34,0,53,1,62,16,0,0,1,2562
47,1,64,0,62,15,1,1,0,2525
34,1,55,2,70,37,1,0,0,3112
43,0,98,0,42,35,1,0,0,3607
37,0,79,2,59,31,1,1,0,3629
29,0,87,1,62,36,1,0,0,3597
47,1,51,2,42,30,0,0,1,3120
24,1,64,2,81,19,1,1,0,3073
19,1,60,0,55,29,1,0,1,3004
20,0,57,0,51,17,0,0,0,2504
34,0,75,2,68,21,1,0,0,3280
22,1,94,0,31,25,0,0,0,3530
34,1,93,1,67,24,0,0,0,3434
41,0,54,1,68,23,2,1,0,2938
34,1,55,0,55,28,2,1,1,3026
44,1,75,1,75,27,2,1,1,3312
34,0,53,0,87,39,2,1,1,2916
19,1,68,2,79,39,1,1,0,3202
19,0,69,2,44,16,2,1,0,3503
45,0,82,1,63,17,0,0,1,3331
39,0,69,0,71,21,1,1,0,2724
40,0,98,0,84,35,2,1,0,3628
22,0,61,1,73,32,0,0,1,2913
49,0,96,2,78,17,1,0,0,3873
18,0,50,1,69,24,1,1,1,2563
18,1,75,2,40,36,2,0,0,3913
36,0,63,0,32,21,1,1,1,3019
47,0,87,2,88,23,0,0,0,3437
19,1,86,1,35,31,1,1,0,3739
38,1,60,0,38,25,0,0,1,2768
29,1,85,1,35,21,1,0,0,3559
43,0,62,1,38,38,2,1,0,3502
49,1,92,2,68,28,0,1,1,3636
23,0,52,1,60,33,1,1,0,2968
49,0,82,2,61,18,1,1,1,3609
40,0,55,0,70,20,1,1,0,2596
21,0,99,2,79,24,0,0,0,3632
40,1,59,0,41,21,0,1,0,2625
28,1,54,2,37,27,0,1,0,2872
41,0,72,1,37,28,2,0,1,3578
44,0,59,2,79,18,2,0,0,3103
34,0,93,2,57,22,0,1,1,3625
48,1,51,0,49,19,1,0,0,2651
23,0,62,1,76,15,2,0,0,2993
41,0,89,2,88,18,0,1,0,3307
22,1,51,1,36,17,1,0,0,2951
37,1,69,2,40,23,2,0,1,3652
19,0,50,2,49,22,1,1,1,2910
23,1,86,1,45,15,1,1,1,3338
39,1,58,2,33,20,1,0,1,3281
28,0,66,1,35,23,1,0,0,3148
48,1,58,2,87,21,2,1,1,3020
33,0,60,0,51,18,2,0,1,2975
33,1,64,1,55,27,2,0,0,3330
18,0,73,2,32,31,0,0,0,3664
26,0,87,2,70,16,2,1,0,3720
45,0,84,0,89,19,1,0,0,3140
44,1,79,1,71,26,2,0,1,3604
23,0,80,2,43,35,1,1,1,3836
33,1,98,0,40,22,0,0,0,3434
46,0,54,2,47,20,1,0,0,3035
20,0,93,1,83,22,1,1,0,3542
37,1,99,2,41,32,1,1,1,4045
45,0,63,2,52,17,0,1,1,3074
44,0,60,2,41,36,2,1,0,3495
21,1,58,2,42,26,2,0,0,3482
36,0,83,0,54,17,0,0,1,3019
43,0,61,0,74,36,1,1,0,2837
20,0,84,1,80,20,2,1,0,3544
48,0,84,0,87,16,0,0,1,3102
36,1,50,0,48,37,2,1,0,2976
37,1,89,1,84,26,0,0,1,3424
49,0,71,0,75,16,1,1,0,2638
24,1,78,0,65,20,2,0,0,3263
37,0,57,1,74,31,0,1,1,2789
26,1,60,1,37,17,2,1,1,3123
18,0,90,1,58,16,2,0,0,3662
25,0,86,2,84,37,2,1,1,3960
49,0,63,2,82,34,2,0,0,3406
24,0,79,1,84,22,0,0,0,3073
35,0,84,1,61,36,1,0,1,3647
25,0,70,1,80,26,0,0,0,2958
18,1,86,2,73,18,0,0,0,3447
28,0,54,2,47,19,0,1,1,2875
45,1,68,0,35,27,1,1,1,3110
42,0,63,0,47,29,2,0,0,3031
42,1,75,1,48,39,2,1,1,3773
35,1,53,2,51,37,2,0,1,3497
40,1,74,2,66,30,1,1,1,3415
48,0,94,2,61,24,2,1,1,4045
47,0,91,1,85,39,1,1,0,3475
27,1,74,0,70,37,2,1,0,3181
20,0,67,1,88,30,2,0,0,3213
24,1,89,0,32,26,0,0,1,3586
45,0,57,0,57,31,1,1,1,2672
33,1,88,1,39,30,0,1,1,3568
43,1,89,0,80,26,0,0,1,3205
33,0,63,0,64,22,0,1,1,2775
42,1,81,2,58,34,1,0,1,3822
37,0,87,0,83,17,1,0,1,3085
45,1,82,1,44,30,2,0,0,3724
34,1,72,1,62,27,0,1,0,3092
19,0,64,0,36,37,2,0,1,3497
18,0,82,2,41,33,0,1,1,3751
33,0,74,2,78,22,1,0,1,3480
47,1,66,0,59,36,1,1,0,2852
29,0,82,0,50,19,1,1,0,3176
22,1,96,1,60,34,0,1,1,3765
22,1,51,0,87,22,1,0,1,2493
49,0,63,2,53,38,0,0,0,3323
44,0,89,0,49,26,2,1,0,3493
40,1,89,1,66,15,0,1,0,3175
26,1,88,1,33,39,2,1,0,4066
26,0,55,1,57,35,0,0,1,2923
20,0,55,1,73,34,2,0,0,3162
36,0,52,1,49,20,1,0,0,2893
33,0,56,0,89,36,2,0,1,2938
33,0,57,0,53,32,1,1,0,2634
20,1,91,0,79,22,1,1,0,3177
37,1,64,0,78,21,2,0,0,2931
41,1,96,1,80,15,0,0,1,3598
39,1,78,2,61,35,0,1,0,3388
41,0,82,0,70,30,0,0,1,3281
18,0,79,2,65,26,0,0,1,3480
41,0,88,0,87,20,0,0,0,3033
37,1,76,0,82,34,1,0,0,3170
28,1,85,2,63,16,0,0,0,3385
34,0,78,1,65,28,1,0,0,3361
25,0,87,0,31,18,1,1,1,3326
21,1,82,0,44,15,1,0,0,3172
23,1,86,0,63,37,2,0,0,3520
25,0,76,2,65,32,2,1,0,3785
37,0,82,1,35,27,1,1,1,3579
47,1,53,2,68,16,2,1,0,3159
20,0,71,2,71,23,0,0,0,3377
33,0,51,1,80,35,0,1,1,2559
47,0,59,2,80,16,1,0,1,3078
42,1,54,1,87,39,0,0,0,2798
20,1,59,0,83,23,1,0,0,2518
42,1,82,1,41,15,1,1,0,3208
46,1,87,0,32,25,0,1,0,3133
35,1,62,2,74,17,2,1,0,3329
49,1,80,2,47,34,0,1,1,3635
31,1,96,0,69,37,0,1,1,3542
35,0,85,2,50,18,1,0,0,3645
19,0,94,1,44,32,1,0,0,3958
39,0,73,0,62,37,1,0,1,3138
20,0,64,2,64,20,1,0,0,3313
33,0,78,0,55,17,2,1,0,3235
46,0,57,1,37,36,2,1,0,3283
26,0,54,1,65,25,2,0,0,3153
21,1,78,2,77,29,1,1,0,3452
18,1,96,1,59,36,1,1,1,3688
21,0,53,0,52,19,1,0,0,2627
18,0,61,1,71,34,2,0,0,3272
31,1,94,0,73,24,1,1,0,3257
38,0,51,0,43,26,0,1,1,2499
33,0,76,1,43,29,0,0,1,3456
37,1,80,2,31,31,1,0,1,3707
41,0,85,1,84,24,0,0,1,3348
49,1,85,0,66,20,0,1,0,2907
25,0,75,0,34,32,2,0,1,3638
24,1,92,1,67,27,1,0,0,3643
20,1,76,2,74,17,1,1,0,3149
34,1,54,2,70,38,2,1,1,3349
49,0,69,0,83,24,0,1,1,2579
18,1,60,0,89,28,0,1,1,2496
33,0,59,2,76,20,1,1,1,3055
29,0,89,1,43,17,0,0,1,3569
44,0,87,0,85,30,2,0,0,3361
36,0,55,0,68,21,2,1,1,2847
39,1,57,2,54,34,1,1,1,3098
40,1,72,1,49,28,2,1,1,3340
39,0,96,2,31,23,2,1,0,4016
31,0,75,1,68,29,1,1,1,3312
47,1,95,1,35,35,2,0,0,4123
23,0,92,1,46,17,2,0,1,3970
23,1,61,0,88,16,2,0,1,2961
30,0,75,2,54,16,0,0,0,3248
36,0,62,2,86,17,1,1,1,3116
39,1,89,1,57,32,1,0,0,3716
25,0,67,0,31,28,1,1,0,2896
44,1,74,0,64,34,0,1,0,2961
44,0,82,2,66,32,0,1,1,3634
19,0,96,0,34,24,1,0,1,3793
38,0,89,0,30,39,0,1,1,3378
47,1,92,1,69,16,1,0,0,3493
18,0,61,0,41,39,0,0,1,2864
45,0,93,1,85,36,2,1,0,3808
32,0,85,2,65,15,2,1,1,3847
49,0,97,0,74,18,1,1,0,3197
18,1,53,2,52,28,0,0,0,2990
22,1,54,2,76,15,0,1,0,2702
45,0,86,0,60,28,2,0,1,3572
46,1,57,0,40,30,2,1,0,2941
33,0,91,2,39,36,0,1,0,3925
36,0,98,0,32,28,0,0,0,3670
21,0,77,1,83,34,0,0,0,3281
20,1,80,1,43,17,0,0,0,3205
49,1,58,0,45,17,0,0,0,2796
34,1,78,2,39,23,0,0,1,3525
49,1,63,0,58,20,1,0,1,2807
34,1,89,0,39,39,0,1,0,3468
29,1,90,2,41,27,2,1,1,4018
45,1,71,2,59,35,1,0,1,3695
47,1,60,1,70,16,0,1,0,2605
46,1,72,2,30,22,2,0,0,3807
31,0,50,1,34,35,1,1,0,2780
38,1,95,2,49,16,2,1,1,4031
23,1,86,0,37,18,0,0,0,3240
20,1,70,1,72,39,0,0,1,3160
45,1,75,1,41,29,0,0,0,3435
26,1,95,1,30,18,0,1,1,3648
22,1,85,0,86,27,1,0,0,3112
41,1,72,0,83,26,1,1,0,2825
46,1,50,0,49,27,2,0,1,2844
34,1,89,0,57,28,0,1,1,3386
31,1,64,0,86,34,2,1,1,3084
38,1,70,1,72,32,1,0,1,3112
48,0,96,0,66,20,0,1,1,3202
20,0,58,1,76,25,0,1,1,2628
45,1,58,0,66,16,1,0,0,2565
18,1,59,2,41,37,1,1,1,3369
37,0,75,1,66,33,1,0,0,3308
