age,gender,weight,humidity,temperature,complication,is_indoors,is_ground_wet,is_windy_or_fanned,is_direct_sun,activity_type,duration_minutes,pace,terrain_type,sweat_level,intensity_score,water_intake
18,1,74,51,24,0,0,0,0,1,4,52,0.0,1,3,0.45600000000000007,3311.0
29,0,71,55,17,0,0,1,1,0,1,45,9.210153027593597,2,0,0.785,3432.0
43,0,76,57,32,0,0,0,0,0,4,29,0.0,1,1,0.28700000000000003,2705.0
39,0,98,79,32,2,0,1,1,1,5,82,5.7542986624731585,2,1,0.6459999999999999,6242.0
46,1,62,50,31,2,1,1,1,0,4,27,0.0,1,3,0.38100000000000006,3136.0
29,1,82,78,38,1,0,1,0,0,5,26,4.337056464084634,1,3,0.628,4091.0
42,0,83,36,17,0,0,1,1,0,5,87,5.260176097097689,0,2,0.661,3880.0
34,0,90,46,17,0,1,1,1,0,5,22,6.458026320255955,1,0,0.466,3245.0
44,1,84,49,20,1,0,1,1,0,5,20,9.544161222554397,0,3,0.51,3907.0
44,0,50,70,27,0,1,0,1,0,5,48,4.422951673858868,1,3,0.6940000000000001,2562.0
48,1,70,78,38,0,1,1,1,0,1,30,10.480659837202307,2,0,0.84,3508.0
27,0,97,49,29,0,1,0,1,1,5,66,8.110805859246906,2,3,0.698,4824.0
49,1,55,83,39,0,0,0,1,1,1,14,6.0477864284727065,2,3,0.7420000000000001,3906.0
45,0,77,51,23,0,1,1,1,1,5,42,5.529293493489294,0,2,0.526,3742.0
45,1,66,57,18,1,1,0,0,1,4,38,0.0,0,0,0.164,2552.0
33,0,54,69,28,0,0,1,0,1,5,74,5.296360697468598,2,3,0.722,3290.0
32,1,80,78,19,1,1,0,1,0,2,24,15.881365756540735,1,0,0.522,3315.0
47,1,54,36,16,0,1,1,1,0,5,77,9.646724875202041,0,0,0.531,2301.0
47,0,87,30,25,2,1,0,0,0,5,104,9.421350660595182,1,2,0.812,3813.0
32,0,52,61,23,2,1,1,0,0,4,59,0.0,2,2,0.377,2188.0
47,1,72,42,38,2,1,1,0,1,3,41,0.0,0,1,0.373,3913.0
36,0,86,59,17,2,0,1,1,0,4,19,0.0,1,2,0.307,4018.0
29,1,86,52,23,1,1,1,0,0,2,100,16.206065561307646,2,1,0.8500000000000001,3479.0
40,0,59,80,17,1,1,0,1,1,3,76,0.0,2,1,0.528,3332.0
37,1,59,88,39,0,0,1,1,0,0,82,3.4810962183592293,0,2,0.496,2983.0
49,1,68,85,16,2,0,0,0,0,0,22,5.165787682547038,2,3,0.5660000000000001,3456.0
42,1,66,48,26,1,0,0,1,1,2,42,17.73295465838254,2,3,0.776,4436.0
20,1,70,61,24,0,1,0,1,0,4,35,0.0,1,0,0.255,2326.0
22,1,63,59,23,0,0,1,1,0,1,15,10.736593165171147,1,1,0.895,3700.0
36,1,58,58,29,1,1,0,1,0,2,52,16.214139166059503,1,2,0.806,3363.0
24,0,95,78,22,2,1,0,0,0,3,51,0.0,1,2,0.553,3765.0
38,0,50,74,39,0,0,0,0,0,3,29,0.0,2,3,0.48700000000000004,2497.0
26,0,94,58,19,2,0,1,1,1,5,55,4.710490235055591,1,3,0.7150000000000001,5931.0
24,1,62,59,25,2,1,1,1,1,0,20,3.7360569424986334,2,2,0.36000000000000004,3461.0
35,1,53,45,16,2,0,0,0,1,3,38,0.0,1,2,0.514,3558.0
21,1,50,69,38,0,1,1,1,1,2,47,20.294419669310813,2,0,0.641,3143.0
42,1,98,48,29,2,0,1,0,1,3,28,0.0,2,0,0.334,5187.0
45,0,89,47,20,0,0,0,1,1,2,81,25.68643158477761,2,1,0.8930000000000001,5349.0
31,0,81,30,22,2,0,0,1,0,1,49,10.212876577090977,0,0,0.847,4805.0
35,1,83,43,19,0,1,1,0,1,5,69,5.965312991080794,0,1,0.5569999999999999,3475.0
43,0,77,80,30,2,0,0,0,1,0,10,4.894256763655129,2,0,0.28,4166.0
26,0,80,76,32,1,1,1,0,0,3,67,0.0,0,0,0.401,3090.0
43,1,57,79,20,2,1,1,0,0,2,83,26.79629021934955,2,3,0.9990000000000001,3185.0
38,0,88,31,19,2,1,1,1,1,4,38,0.0,1,0,0.264,4275.0
19,1,75,83,30,0,1,1,0,0,0,80,3.3428573099939385,1,0,0.49,2594.0
37,0,83,57,27,0,0,1,1,1,1,12,7.225898300393822,0,2,0.636,4585.0
45,1,52,78,19,2,1,1,0,0,2,72,23.976807447718326,1,0,0.866,2711.0
32,1,99,79,27,1,1,0,0,1,5,62,4.414275437887598,0,2,0.5860000000000001,4384.0
45,1,61,59,31,1,0,0,1,0,5,98,9.31371858545064,2,3,0.794,4060.0
24,1,50,67,32,0,1,1,0,0,1,35,7.519634301136291,0,1,0.655,2388.0
29,0,93,80,22,1,0,1,0,1,1,37,10.183652514323143,0,0,0.8109999999999999,5321.0
46,1,54,33,27,2,1,1,0,1,5,105,9.059957006727299,2,3,0.815,3617.0
25,1,79,30,33,0,0,0,0,1,3,70,0.0,1,0,0.51,4023.0
32,1,79,37,17,2,1,1,1,1,3,48,0.0,2,2,0.494,4396.0
20,0,66,58,38,0,0,0,1,1,2,85,17.282235815272315,2,2,0.855,4729.0
31,1,97,84,22,0,1,1,0,0,4,25,0.0,0,1,0.175,2747.0
34,0,96,68,16,0,1,1,0,1,2,49,21.659936193106155,1,2,0.797,4442.0
21,1,72,32,22,0,0,0,0,1,4,16,0.0,1,1,0.248,2934.0
35,0,64,61,27,1,0,0,1,0,1,21,7.0903397593689395,2,3,0.7630000000000001,3750.0
25,0,86,39,27,2,0,1,1,0,0,66,5.945122027563425,1,1,0.648,4475.0
21,1,70,39,15,2,0,1,1,1,2,96,24.468661813482043,2,3,1.0,5350.0
19,0,63,48,20,2,1,1,1,0,2,83,26.965826914184294,1,0,0.899,3754.0
47,1,51,75,38,0,1,0,0,0,4,17,0.0,2,2,0.251,1908.0
23,1,60,63,33,1,0,0,0,1,1,23,8.235199642557305,2,2,0.819,4334.0
39,1,88,89,30,2,1,0,0,0,1,13,8.78543111843535,2,1,0.7390000000000001,4079.0
27,0,87,62,22,1,0,0,1,0,4,45,0.0,2,3,0.385,3818.0
21,0,83,52,15,0,0,0,0,1,1,36,8.275359223082694,1,1,0.858,4584.0
39,1,87,84,30,2,1,0,1,1,5,68,6.239446938275403,2,3,0.704,5194.0
46,1,99,57,23,1,1,1,1,0,3,80,0.0,2,3,0.64,3896.0
48,0,83,61,27,0,1,1,0,0,5,44,7.486090560250657,0,1,0.482,2734.0
35,1,67,79,25,1,1,0,0,1,0,67,5.345879931473878,0,1,0.551,3193.0
43,1,79,36,27,2,1,1,0,0,2,58,22.19452146682251,0,2,0.8240000000000001,3606.0
29,1,64,58,39,2,1,1,1,0,0,73,5.1397076042500105,2,2,0.669,3912.0
19,0,76,37,35,0,1,0,1,0,2,111,13.509553598205205,1,0,0.7829999999999999,3568.0
27,0,83,30,24,0,0,1,0,1,3,77,0.0,0,3,0.5810000000000001,4030.0
47,0,87,86,18,0,0,0,0,0,1,32,9.632470545045523,0,3,0.846,3775.0
21,1,82,84,20,1,0,0,1,0,5,109,9.334767543640059,0,0,0.627,4193.0
31,1,73,32,21,1,0,1,0,1,4,36,0.0,1,1,0.308,3488.0
48,1,64,53,19,1,0,0,1,0,5,95,6.843527320696616,0,2,0.685,3725.0
33,0,79,52,25,0,1,0,1,0,3,73,0.0,2,0,0.469,2926.0
32,1,91,88,27,2,0,0,0,1,0,49,4.799313944911494,1,1,0.497,4831.0
25,1,66,37,39,2,0,0,0,1,4,44,0.0,1,3,0.43200000000000005,4308.0
31,1,54,83,33,1,0,0,0,1,1,20,7.127522284891938,0,1,0.6100000000000001,3523.0
40,1,78,86,37,1,0,0,0,1,3,21,0.0,1,3,0.5130000000000001,4559.0
45,0,53,76,24,2,0,0,1,0,4,40,0.0,2,1,0.27,2828.0
42,0,59,66,24,2,0,0,1,0,3,81,0.0,0,3,0.593,3602.0
47,1,66,32,25,1,0,1,1,1,3,81,0.0,1,0,0.543,3986.0
25,0,59,80,35,1,1,1,0,1,1,56,9.820570302265963,2,1,0.8680000000000001,3822.0
38,0,66,62,21,2,1,1,1,0,2,80,15.841212403156158,0,3,0.74,3408.0
33,1,69,57,32,0,0,0,0,1,4,42,0.0,0,1,0.226,3143.0
30,1,73,76,18,1,1,0,0,0,1,55,7.312293677987563,2,1,0.7650000000000001,3075.0
35,0,54,37,16,2,1,1,0,1,3,72,0.0,2,2,0.566,3191.0
32,1,83,63,28,2,1,1,0,0,1,13,8.76913756553164,2,1,0.7390000000000001,3675.0
38,0,55,64,27,2,1,1,0,1,2,107,11.590929045721337,0,3,0.821,3657.0
41,1,51,61,26,2,0,0,0,1,5,95,4.903648619309644,0,0,0.585,3608.0
43,0,62,53,21,0,1,1,1,0,4,36,0.0,1,0,0.258,2155.0
42,1,92,43,16,2,1,1,0,1,2,40,25.99235397861257,2,0,0.7200000000000001,4559.0
45,0,92,61,27,1,1,0,1,0,0,69,3.1169379619833912,1,3,0.607,3762.0
45,0,97,85,28,0,0,1,1,0,4,20,0.0,0,3,0.26,3867.0
45,0,60,75,31,2,0,0,0,0,2,78,19.255618720168105,2,0,0.734,3675.0
30,1,96,72,23,0,0,0,0,0,3,37,0.0,1,3,0.561,3666.0
26,0,72,45,31,1,0,0,0,0,4,25,0.0,0,1,0.175,2751.0
46,0,65,33,22,2,0,1,1,1,4,52,0.0,2,3,0.406,4192.0
32,1,80,81,16,1,0,1,0,1,1,21,7.959835496555465,2,2,0.7130000000000001,4418.0
30,1,60,66,38,2,0,0,1,0,3,80,0.0,1,2,0.64,4131.0
18,0,65,83,27,2,1,1,0,1,0,44,4.713486895867083,0,0,0.332,3091.0
42,0,57,50,17,2,1,1,0,0,5,54,4.1345553349723305,2,0,0.512,2698.0
24,1,53,43,30,2,1,1,1,1,2,73,20.191252442051276,2,3,0.869,4310.0
26,1,89,60,20,2,0,1,1,1,1,57,7.873178209305622,1,1,0.8210000000000001,5900.0
41,1,53,84,33,0,0,0,0,1,2,50,23.758360955855693,1,0,0.8,3418.0
18,1,74,77,21,2,0,1,1,1,0,41,3.3979337328028594,2,1,0.373,4477.0
29,1,52,47,24,2,0,0,1,0,0,12,4.873842144343595,0,0,0.23600000000000002,2683.0
25,0,81,36,23,0,0,0,1,0,4,24,0.0,2,0,0.17200000000000001,2840.0
41,1,52,39,16,0,1,1,1,1,0,77,5.972037471197297,2,2,0.681,2930.0
48,0,76,36,29,0,1,0,1,1,2,62,22.170257156589223,0,2,0.8360000000000001,4165.0
28,0,78,62,19,0,0,1,0,0,3,44,0.0,2,2,0.482,3012.0
36,0,81,52,36,0,0,1,0,1,3,43,0.0,2,1,0.429,4154.0
34,1,99,50,18,0,0,0,1,0,4,48,0.0,2,3,0.394,4118.0
25,0,68,48,34,2,0,0,0,0,5,88,7.798435920997078,0,2,0.664,3826.0
20,0,70,77,18,2,1,0,0,0,2,40,27.660122341622845,1,0,0.77,3208.0
20,1,54,48,32,1,0,0,1,1,2,61,22.871802903106598,0,1,0.7830000000000001,4254.0
18,0,67,65,18,2,0,1,0,0,0,84,5.847602079542674,0,1,0.6020000000000001,3474.0
44,0,77,58,31,2,0,1,1,1,2,46,22.195569049906325,1,3,0.9380000000000001,5911.0
22,1,91,89,26,0,0,1,1,0,1,32,11.550283052058088,0,2,0.8959999999999999,4614.0
27,0,71,47,36,0,1,0,0,1,5,60,7.865540341904869,0,0,0.48,3381.0
24,0,70,31,31,2,0,0,1,1,0,63,3.8258646403555803,2,0,0.389,4527.0
43,0,55,30,24,1,0,0,1,1,1,16,9.595812696836626,2,3,0.8480000000000001,4355.0
26,1,50,76,36,0,1,1,1,0,4,26,0.0,1,1,0.278,1873.0
45,1,54,34,15,2,1,0,1,0,3,66,0.0,0,0,0.398,2824.0
24,1,90,49,36,2,1,1,1,1,4,28,0.0,1,3,0.38400000000000006,4842.0
26,0,61,40,38,1,0,0,0,1,3,69,0.0,0,2,0.5070000000000001,3923.0
25,0,75,71,32,1,0,1,0,1,4,57,0.0,2,3,0.42100000000000004,3938.0
29,1,95,31,32,0,1,1,1,0,2,59,24.450596826841007,1,1,0.877,4158.0
19,0,83,32,28,1,1,0,1,0,1,12,9.834192953489525,1,1,0.786,3956.0
18,0,98,52,29,2,1,0,0,0,3,32,0.0,0,1,0.346,3420.0
33,1,63,84,26,2,1,1,1,0,0,46,5.501375852756482,1,3,0.6880000000000001,3480.0
40,1,75,41,18,1,1,1,0,1,1,35,10.44338833955706,2,1,0.905,4229.0
40,0,94,49,17,1,1,0,1,1,0,29,3.095231296118966,1,1,0.387,4273.0
47,0,76,34,34,1,0,0,1,0,1,26,9.641081733240835,2,3,0.878,4652.0
41,0,58,66,26,1,0,1,1,0,1,55,9.954272460793394,2,3,0.9650000000000001,3788.0
22,1,75,67,21,0,0,0,1,1,4,59,0.0,2,2,0.377,3728.0
20,1,96,59,25,1,1,1,1,0,3,75,0.0,2,0,0.475,3733.0
29,1,71,38,15,0,1,1,1,0,3,54,0.0,2,3,0.562,2732.0
25,1,96,63,20,2,1,0,1,0,1,46,11.38419519474559,2,2,0.988,4675.0
39,0,79,82,29,1,1,0,0,0,2,76,18.370171315475694,2,0,0.728,3332.0
44,1,92,73,29,0,1,0,0,0,2,113,12.302864641212096,2,0,0.739,3404.0
20,1,97,64,33,1,1,0,0,0,0,21,5.45092172181551,1,1,0.513,3565.0
18,1,66,81,25,2,0,0,1,1,0,38,3.255310458359356,2,1,0.364,4134.0
20,1,75,87,37,2,0,1,1,0,4,21,0.0,1,1,0.263,3934.0
22,1,85,51,16,2,1,1,1,0,1,29,6.331335124458171,1,3,0.837,4187.0
32,0,50,73,28,1,0,0,1,1,0,61,4.315370145751734,2,0,0.433,3200.0
31,0,57,53,16,1,1,0,1,1,0,49,3.3432945558370757,2,3,0.497,3216.0
20,1,98,46,18,0,0,0,1,1,5,30,5.957523508246881,0,1,0.43999999999999995,4700.0
18,0,84,39,31,2,1,1,1,0,1,19,7.538778366100596,0,3,0.7070000000000001,4344.0
22,1,64,59,17,1,1,0,0,1,4,27,0.0,0,1,0.181,2664.0
43,1,96,85,27,2,0,0,1,0,0,13,3.4407657707513124,1,2,0.38899999999999996,4531.0
40,0,71,88,23,2,0,1,0,0,4,38,0.0,2,3,0.364,3202.0
48,0,63,75,21,0,1,1,0,0,3,41,0.0,1,2,0.523,2360.0
31,1,75,52,29,0,1,0,1,1,4,25,0.0,1,3,0.37500000000000006,3319.0
24,1,77,61,37,0,0,0,1,1,2,81,12.468672786749377,1,1,0.7429999999999999,4846.0
44,1,72,46,25,0,0,0,0,1,2,59,15.465230886589126,2,3,0.7270000000000001,3883.0
26,0,63,79,34,2,1,1,0,1,4,37,0.0,0,0,0.161,3074.0
32,1,73,80,16,0,0,0,1,1,2,114,15.516342424770766,0,2,0.792,4376.0
32,1,51,46,29,0,1,0,1,0,3,72,0.0,1,0,0.516,2474.0
43,1,94,43,28,0,1,0,0,0,1,31,10.350036457794712,1,2,0.9929999999999999,3688.0
27,0,75,38,34,0,1,1,1,0,2,95,23.98688714173161,2,1,0.9350000000000002,3717.0
45,1,63,69,36,2,1,1,1,0,2,34,10.809305948647921,2,2,0.602,3735.0
30,1,56,31,25,0,0,0,1,1,4,27,0.0,0,3,0.281,2694.0
36,0,52,74,17,2,0,0,0,1,3,28,0.0,1,2,0.48400000000000004,3418.0
48,1,96,54,31,1,0,1,0,0,1,30,8.936355224439533,0,2,0.7899999999999999,4730.0
49,1,72,68,26,2,0,1,0,1,4,26,0.0,1,2,0.328,3793.0
24,0,95,38,38,2,0,1,1,1,4,21,0.0,0,2,0.21300000000000002,5473.0
34,1,92,83,35,0,0,1,1,0,5,67,6.440828805710341,2,2,0.651,4488.0
37,0,96,51,29,1,0,1,0,0,3,87,0.0,2,0,0.511,4151.0
46,0,94,72,30,1,1,1,0,1,1,41,6.7560121671839655,0,0,0.623,4505.0
49,1,67,75,19,1,0,1,0,1,3,25,0.0,2,0,0.325,3294.0
21,1,87,33,34,1,0,1,1,0,1,35,11.217636494848666,1,3,1.0,5353.0
47,1,84,55,20,2,1,1,0,0,3,58,0.0,0,0,0.374,3074.0
22,1,64,87,33,1,0,0,0,0,4,46,0.0,2,1,0.28800000000000003,2905.0
40,0,74,58,39,2,0,0,1,1,4,52,0.0,0,1,0.256,4738.0
24,1,86,74,19,2,1,0,1,0,0,76,3.65612940097075,0,1,0.42800000000000005,3769.0
30,0,77,63,17,2,0,1,1,0,2,117,26.257434019019723,0,1,0.9510000000000001,4743.0
32,1,59,52,15,1,0,0,0,1,5,91,7.352595667746386,1,0,0.673,3742.0
28,1,88,66,20,0,0,1,1,1,3,25,0.0,1,3,0.525,4420.0
46,1,66,40,29,0,1,1,1,1,5,118,9.63336976024765,2,3,0.854,4131.0
21,0,88,35,16,1,0,0,0,1,0,58,5.188391309494991,0,2,0.5740000000000001,4639.0
30,1,71,47,17,0,0,1,1,1,2,88,13.152216522346357,0,2,0.714,4170.0
49,1,75,50,31,0,1,0,0,0,3,60,0.0,2,1,0.48,2734.0
24,1,93,71,39,2,0,0,0,0,1,30,11.244430639831112,2,2,0.94,5513.0
44,1,74,65,38,2,1,0,1,1,2,41,23.530171096412545,0,2,0.773,5137.0
36,0,66,70,26,1,1,1,1,1,4,56,0.0,1,0,0.31800000000000006,3174.0
39,1,62,67,32,1,0,0,1,1,0,29,4.129590863367895,0,1,0.337,3612.0
45,0,69,63,29,0,1,1,1,1,2,55,18.24982470257636,2,0,0.665,3635.0
19,0,74,46,26,2,1,0,1,1,2,36,15.291083818304156,1,2,0.6579999999999999,4302.0
27,0,53,66,30,1,0,0,1,0,4,59,0.0,2,1,0.327,2809.0
30,0,59,54,22,1,1,0,0,0,3,27,0.0,2,1,0.381,2165.0
47,0,52,67,28,1,1,1,0,0,1,56,11.45060731127625,2,0,0.918,2743.0
42,0,90,87,39,1,0,1,1,0,4,42,0.0,0,0,0.176,4046.0
38,1,94,41,31,1,0,1,0,1,1,25,9.691521919694484,1,1,0.825,5477.0
23,0,67,52,35,1,0,0,1,0,3,36,0.0,1,2,0.508,3711.0
45,0,96,82,22,0,1,0,0,1,2,32,23.850080093476848,0,1,0.6960000000000001,4063.0
45,0,85,71,29,2,0,1,0,1,1,39,8.854126908065751,2,0,0.767,5293.0
29,1,96,51,28,2,1,1,0,1,0,30,3.136357501307388,0,3,0.39,4459.0
29,1,71,50,32,1,1,1,1,0,0,24,5.731817151643265,1,3,0.6220000000000001,3493.0
37,0,83,56,34,2,1,1,0,1,4,45,0.0,0,2,0.28500000000000003,4069.0
47,1,96,86,21,2,1,1,1,0,3,71,0.0,1,0,0.513,4040.0
47,0,57,60,17,2,1,1,0,0,4,23,0.0,1,2,0.319,2387.0
28,0,89,35,26,1,1,0,0,1,4,15,0.0,2,2,0.245,3561.0
49,1,98,56,35,1,1,1,0,1,5,117,5.293004553205306,2,3,0.851,5128.0
43,0,93,69,38,2,0,0,0,1,4,47,0.0,0,1,0.24100000000000002,5137.0
40,1,68,63,17,2,0,0,0,0,5,76,5.134834600137908,2,1,0.628,3715.0
45,1,91,41,34,1,1,1,1,1,0,21,4.139254568757952,1,1,0.41300000000000003,4605.0
42,0,90,74,28,0,1,1,1,0,0,20,4.70539469552382,2,0,0.31,3059.0
24,0,86,86,29,2,0,0,0,1,4,47,0.0,1,0,0.29100000000000004,4538.0
47,1,55,82,39,0,1,1,0,1,0,49,5.787434151635062,1,1,0.597,3127.0
18,0,75,36,28,2,0,1,0,0,3,69,0.0,1,0,0.5070000000000001,3596.0
18,0,83,39,21,0,0,0,0,0,5,83,6.58667443058203,0,0,0.5489999999999999,3483.0
42,0,94,74,31,0,0,0,1,0,5,118,6.511493713188935,0,0,0.6539999999999999,4235.0
44,1,55,46,26,0,1,0,0,0,4,16,0.0,2,3,0.298,2070.0
47,1,86,55,34,1,1,1,1,0,0,37,4.791877261060408,1,2,0.511,3938.0
42,0,82,50,18,0,0,0,0,0,1,47,7.773927249674911,1,2,0.841,3710.0
37,1,71,57,23,0,0,1,1,1,5,56,9.309130706176026,1,1,0.618,3959.0
30,1,70,87,20,0,0,0,0,1,4,57,0.0,1,0,0.32100000000000006,3165.0
26,1,55,75,30,2,0,0,0,0,4,46,0.0,0,0,0.188,2844.0
20,1,55,31,39,0,0,0,1,1,3,79,0.0,1,2,0.637,3724.0
24,1,97,89,36,2,1,1,0,0,2,77,15.006324798759024,1,3,0.831,4488.0
23,0,53,83,36,0,0,1,0,1,2,75,17.970366457787275,0,1,0.725,3465.0
25,0,79,72,35,0,1,0,0,1,5,101,9.95017644023471,0,2,0.7030000000000001,3783.0
44,0,60,30,35,1,0,0,1,0,3,23,0.0,1,3,0.5190000000000001,3544.0
26,1,79,80,16,2,1,0,0,0,3,46,0.0,0,2,0.43800000000000006,3032.0
47,1,80,82,38,0,1,1,0,0,3,35,0.0,2,3,0.505,3074.0
22,0,73,65,22,2,1,0,1,1,5,33,6.692672823967689,2,1,0.499,4160.0
18,1,58,80,25,2,1,1,1,0,2,86,14.439855084497317,1,1,0.758,3265.0
36,0,52,55,27,1,1,0,1,1,3,45,0.0,1,2,0.535,3191.0
27,0,80,58,31,1,1,0,0,0,0,76,3.882800209911343,2,1,0.478,3006.0
29,0,89,50,22,1,0,0,0,1,4,41,0.0,0,2,0.273,4151.0
41,1,86,40,35,1,1,0,0,1,4,49,0.0,0,0,0.197,3686.0
32,1,85,69,32,1,0,0,1,0,1,53,8.467184933295275,1,2,0.959,5009.0
44,0,73,40,32,1,1,0,0,1,1,40,8.140612269739636,2,3,0.92,4347.0
39,0,80,65,28,1,1,1,0,1,5,106,5.793142811554185,0,1,0.6679999999999999,3869.0
49,0,55,78,29,1,0,0,1,0,5,108,8.378271438984534,2,1,0.724,3472.0
49,0,51,88,20,0,1,1,1,1,4,35,0.0,0,3,0.305,2271.0
41,1,69,68,25,2,0,0,1,0,0,58,5.467483947870681,0,1,0.524,3676.0
26,1,77,69,27,1,0,0,1,0,2,116,12.104623639457046,0,2,0.798,4197.0
37,0,60,64,39,1,0,1,1,0,2,71,23.209896354445743,0,0,0.763,4010.0
34,0,53,83,15,2,0,0,0,0,5,107,4.6994984473341805,0,1,0.671,3136.0
47,1,64,63,20,0,1,1,1,1,0,56,3.0455306468604806,2,1,0.41800000000000004,2688.0
34,1,55,84,23,2,1,1,0,1,5,40,8.925886103794845,1,3,0.67,3525.0
43,0,98,76,22,2,0,0,0,1,2,42,22.594418363056754,1,1,0.8260000000000001,5721.0
37,0,79,53,25,1,1,1,1,0,5,108,9.655955061799784,2,2,0.774,3412.0
29,0,87,83,36,2,1,1,1,1,3,80,0.0,0,1,0.49,5184.0
47,1,51,51,33,2,0,0,1,1,5,72,6.783890189001324,2,0,0.566,4235.0
24,1,64,34,38,1,1,1,0,0,4,52,0.0,0,0,0.20600000000000002,2444.0
19,1,60,85,23,1,0,0,1,0,5,92,9.374187779196234,1,0,0.676,3341.0
20,0,57,62,31,1,0,0,1,1,4,54,0.0,2,1,0.31200000000000006,3410.0
34,0,75,87,26,1,1,0,1,0,0,20,4.596875627854363,2,1,0.36,2987.0
22,1,94,65,39,2,1,0,1,0,2,96,20.22353735168945,2,3,0.9380000000000001,5316.0
34,1,93,76,28,2,1,1,1,0,1,37,11.90140323908198,0,2,0.9109999999999999,4577.0
41,0,54,49,29,0,0,0,0,0,1,40,10.69230461558255,2,1,0.92,3230.0
34,1,55,48,30,0,0,0,0,1,2,50,10.949774641472848,0,2,0.6,3140.0
44,1,75,64,36,2,1,1,0,0,1,31,7.3591297562166345,2,0,0.643,3730.0
34,0,53,81,36,0,1,0,1,0,5,84,4.827311616136063,1,1,0.702,2722.0
19,1,68,72,34,2,1,0,1,0,0,51,5.470656679835457,0,1,0.503,3795.0
19,0,69,46,15,0,1,1,1,0,0,47,5.687652543577979,1,2,0.641,2949.0
45,0,82,88,24,1,0,1,0,0,2,36,15.907230690357016,1,0,0.5579999999999999,3885.0
39,0,69,74,22,0,1,1,1,0,1,26,11.007545715571633,1,0,0.8779999999999999,3300.0
40,0,98,72,32,1,0,1,1,0,5,25,7.394129032846035,1,2,0.575,4744.0
22,0,61,63,15,1,0,1,1,0,0,81,5.425217216681073,1,0,0.643,3487.0
49,0,96,38,16,1,1,1,0,1,0,36,5.344516943226546,2,0,0.458,4150.0
18,0,50,55,15,1,1,1,1,0,3,54,0.0,1,0,0.4620000000000001,2406.0
18,1,75,31,15,0,1,0,0,1,3,77,0.0,0,2,0.531,3262.0
36,0,63,82,23,2,0,1,1,0,0,43,3.0979771823534876,0,1,0.329,3358.0
47,0,87,38,27,1,1,1,0,0,2,39,14.495898924037355,2,3,0.667,3303.0
19,1,86,38,15,0,1,1,0,0,4,32,0.0,0,0,0.14600000000000002,2273.0
38,1,60,69,27,1,0,0,0,0,4,28,0.0,1,0,0.23400000000000004,2421.0
